person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
25.0,45000.0,Own,1.0,Personal,C,10000.0,12.87,0.0,0.22,Y,2
29.0,18000.0,Rent,2.0,Homeimprovement,B,3000.0,12.69,1.0,0.17,N,8
28.0,19992.0,Rent,12.0,Education,A,3000.0,7.14,1.0,0.15,N,9
28.0,100000.0,Mortgage,3.0,Medical,C,8000.0,13.98,0.0,0.08,Y,6
27.0,144000.0,Mortgage,4.0,Debtconsolidation,C,21000.0,13.57,0.0,0.15,Y,8
27.0,21112.0,Rent,0.0,Personal,D,3600.0,15.99,1.0,0.17,Y,10
25.0,45000.0,Rent,0.0,Venture,C,10000.0,12.98,0.0,0.22,Y,2
23.0,62400.0,Rent,0.0,Venture,A,12000.0,6.91,0.0,0.19,N,3
32.0,73000.0,Mortgage,7.0,Personal,C,4750.0,13.11,1.0,0.07,Y,9
32.0,45000.0,Rent,0.0,Education,B,5600.0,11.36,0.0,0.12,N,10
29.0,62000.0,Mortgage,5.0,Debtconsolidation,A,10000.0,5.99,0.0,0.16,N,8
32.0,56784.0,Own,3.0,Personal,D,12000.0,14.96,0.0,0.21,Y,10
53.0,85000.0,Rent,2.0,Personal,A,8000.0,7.74,0.0,0.09,N,26
53.0,46000.0,Own,9.0,Personal,B,4925.0,11.71,0.0,0.11,N,23
23.0,50000.0,Rent,0.0,Medical,C,5600.0,11.03,0.0,0.11,Y,4
26.0,161000.0,Rent,10.0,Venture,A,30000.0,7.9,0.0,0.19,N,4
26.0,38400.0,Rent,10.0,Medical,D,7500.0,17.58,0.0,0.2,N,2
27.0,96000.0,Rent,3.0,Homeimprovement,A,10000.0,7.88,0.0,0.1,N,10
25.0,115000.0,Mortgage,4.0,Venture,C,25000.0,12.53,0.0,0.22,Y,4
34.0,67000.0,Rent,7.0,Education,B,20000.0,11.71,0.0,0.3,N,9
22.0,36000.0,Rent,1.0,Education,A,1000.0,8.59,0.0,0.03,N,4
24.0,90000.0,Rent,3.0,Homeimprovement,B,15000.0,11.86,0.0,0.17,N,2
21.0,55000.0,Rent,3.0,Education,B,4800.0,11.12,0.0,0.09,N,4
26.0,80730.0,Mortgage,7.0,Homeimprovement,A,9600.0,7.29,0.0,0.12,N,2
31.0,24000.0,Rent,3.0,Education,A,6000.0,8.49,0.0,0.25,N,5
25.0,60000.0,Mortgage,6.0,Venture,D,8400.0,16.89,0.0,0.14,N,3
31.0,155000.0,Mortgage,5.0,Homeimprovement,A,7000.0,5.42,0.0,0.05,N,5
32.0,61900.0,Rent,4.0,Homeimprovement,C,1500.0,13.23,0.0,0.02,Y,7
34.0,68000.0,Rent,5.0,Homeimprovement,A,14400.0,8.59,0.0,0.21,N,5
24.0,50000.0,Rent,1.0,Homeimprovement,A,12000.0,7.51,0.0,0.24,N,4
23.0,40000.0,Rent,7.0,Venture,B,10000.0,10.36,0.0,0.25,N,3
25.0,60000.0,Rent,8.0,Homeimprovement,D,5000.0,15.57,0.0,0.08,N,4
24.0,71000.0,Mortgage,8.0,Education,B,3500.0,11.49,0.0,0.05,N,2
33.0,58800.0,Rent,10.0,Medical,B,3000.0,11.49,0.0,0.05,N,9
24.0,37000.0,Rent,3.0,Venture,B,5500.0,9.2,0.0,0.15,N,3
21.0,45192.0,Mortgage,0.0,Personal,B,11700.0,10.74,0.0,0.26,N,2
27.0,48000.0,Rent,4.0,Debtconsolidation,B,4200.0,10.74,0.0,0.09,N,5
38.0,24000.0,Mortgage,6.0,Debtconsolidation,A,1500.0,6.03,0.0,0.06,N,16
22.0,14400.0,Rent,0.0,Homeimprovement,D,2100.0,14.83,1.0,0.15,N,3
24.0,21600.0,Rent,0.0,Education,C,6600.0,12.68,1.0,0.31,Y,4
25.0,42000.0,Rent,4.0,Education,A,1925.0,6.17,0.0,0.05,N,4
23.0,72000.0,Rent,4.0,Medical,C,10000.0,13.85,0.0,0.14,Y,3
24.0,29000.0,Mortgage,1.0,Medical,D,6000.0,15.62,1.0,0.21,N,3
24.0,175000.0,Own,3.0,Venture,B,8000.0,11.14,0.0,0.05,N,4
21.0,66000.0,Mortgage,5.0,Medical,A,18000.0,6.91,0.0,0.27,N,3
23.0,98000.0,Mortgage,7.0,Debtconsolidation,C,20000.0,13.57,0.0,0.2,N,4
42.0,101000.0,Mortgage,6.0,Debtconsolidation,F,25000.0,16.15,1.0,0.25,Y,14
27.0,129900.0,Mortgage,11.0,Medical,B,3100.0,11.11,0.0,0.02,N,8
24.0,54000.0,Mortgage,8.0,Personal,B,4000.0,9.99,0.0,0.07,N,2
36.0,51000.0,Mortgage,4.0,Education,B,4775.0,11.14,0.0,0.09,N,11
26.0,71000.0,Mortgage,10.0,Homeimprovement,D,6000.0,15.62,0.0,0.08,N,3
22.0,60000.0,Rent,6.0,Personal,B,4000.0,12.21,0.0,0.07,N,3
24.0,27360.0,Mortgage,5.0,Personal,A,8000.0,7.29,0.0,0.29,N,3
34.0,39000.0,Own,5.0,Homeimprovement,B,12000.0,11.99,0.0,0.31,N,6
25.0,27048.0,Other,9.0,Medical,D,8000.0,15.05,1.0,0.3,Y,2
32.0,64052.0,Rent,3.0,Homeimprovement,B,4875.0,10.74,0.0,0.08,N,9
31.0,42000.0,Rent,3.0,Medical,B,5000.0,11.86,0.0,0.12,N,9
26.0,65004.0,Rent,3.0,Venture,A,8400.0,7.51,0.0,0.13,N,3
30.0,34046.0,Rent,2.0,Medical,D,12000.0,14.96,1.0,0.35,Y,6
27.0,75000.0,Rent,3.0,Medical,B,20000.0,11.83,0.0,0.27,N,10
26.0,31200.0,Mortgage,6.0,Personal,A,9250.0,7.9,0.0,0.3,N,2
25.0,26400.0,Mortgage,1.0,Homeimprovement,A,7500.0,8.9,0.0,0.28,N,3
24.0,81600.0,Rent,5.0,Venture,C,8000.0,12.84,0.0,0.1,Y,2
27.0,105000.0,Mortgage,3.0,Education,C,25000.0,12.23,0.0,0.24,N,5
25.0,144996.0,Mortgage,2.0,Education,E,25000.0,16.35,0.0,0.17,Y,2
22.0,75000.0,Rent,5.0,Venture,B,5000.0,11.49,0.0,0.07,N,3
27.0,41000.0,Rent,11.0,Debtconsolidation,D,11000.0,15.33,1.0,0.27,Y,7
27.0,45000.0,Mortgage,7.0,Personal,A,12000.0,6.91,0.0,0.27,N,8
24.0,96000.0,Mortgage,7.0,Personal,C,6000.0,13.92,0.0,0.06,N,3
27.0,50000.0,Mortgage,0.0,Medical,A,12000.0,6.62,0.0,0.24,N,9
25.0,120000.0,Mortgage,9.0,Personal,A,10000.0,5.42,0.0,0.08,N,4
32.0,55000.0,Rent,4.0,Venture,D,10000.0,14.42,0.0,0.18,Y,9
24.0,30000.0,Rent,2.0,Debtconsolidation,C,1500.0,14.22,0.0,0.05,Y,4
26.0,45000.0,Rent,3.0,Medical,A,6000.0,7.49,0.0,0.13,N,2
24.0,120000.0,Own,8.0,Homeimprovement,C,21000.0,14.26,0.0,0.17,Y,2
23.0,68000.0,Rent,1.0,Venture,E,14400.0,17.99,1.0,0.21,N,2
29.0,92250.0,Rent,2.0,Medical,B,13000.0,10.99,0.0,0.14,N,9
22.0,74004.0,Own,0.0,Medical,A,3000.0,6.54,0.0,0.04,N,4
32.0,72000.0,Rent,5.0,Venture,B,12000.0,10.62,0.0,0.17,N,5
43.0,60000.0,Mortgage,27.0,Homeimprovement,B,10000.0,9.88,0.0,0.17,N,16
30.0,148000.0,Rent,8.0,Venture,D,10000.0,13.55,0.0,0.07,N,9
23.0,75000.0,Mortgage,2.0,Venture,E,19600.0,15.13,0.0,0.26,N,3
26.0,30000.0,Rent,8.0,Education,A,9000.0,5.99,1.0,0.3,N,2
24.0,54996.0,Mortgage,8.0,Medical,B,19000.0,10.83,0.0,0.35,N,3
29.0,142000.0,Own,14.0,Personal,B,24250.0,11.48,0.0,0.17,N,8
33.0,43000.0,Rent,2.0,Education,A,7000.0,7.88,0.0,0.16,N,6
37.0,60000.0,Rent,0.0,Venture,C,9700.0,13.61,0.0,0.16,Y,11
39.0,88400.0,Mortgage,20.0,Medical,F,25000.0,18.3,1.0,0.24,N,13
22.0,52000.0,Rent,2.0,Education,B,25000.0,11.11,1.0,0.48,N,4
22.0,19200.0,Mortgage,6.0,Personal,B,4950.0,11.71,1.0,0.26,N,2
35.0,79500.0,Mortgage,5.0,Personal,D,9600.0,14.61,0.0,0.12,Y,5
23.0,105000.0,Mortgage,5.0,Education,E,15000.0,16.82,0.0,0.14,Y,4
23.0,44000.0,Mortgage,7.0,Personal,A,10000.0,8.49,1.0,0.23,N,4
31.0,56004.0,Rent,3.0,Education,D,9000.0,14.46,1.0,0.16,Y,5
26.0,16428.0,Rent,0.0,Medical,C,2400.0,12.23,0.0,0.15,N,3
27.0,42000.0,Mortgage,2.0,Venture,C,20000.0,12.84,0.0,0.48,Y,7
26.0,108000.0,Mortgage,2.0,Medical,B,18500.0,12.18,0.0,0.17,N,2
51.0,667680.0,Mortgage,19.0,Personal,C,10000.0,13.98,0.0,0.01,Y,22
52.0,25000.0,Rent,23.0,Medical,D,5000.0,12.61,1.0,0.2,Y,22
24.0,86400.0,Rent,5.0,Debtconsolidation,C,2800.0,14.65,0.0,0.03,Y,4
22.0,31000.0,Rent,7.0,Medical,D,9250.0,14.11,1.0,0.3,N,4
22.0,61000.0,Mortgage,6.0,Education,A,2100.0,6.62,0.0,0.03,N,3
22.0,49536.0,Mortgage,6.0,Education,A,5200.0,6.62,0.0,0.1,N,3
22.0,97000.0,Mortgage,4.0,Debtconsolidation,B,14000.0,11.48,1.0,0.14,N,2
24.0,80000.0,Rent,3.0,Venture,C,20000.0,13.06,0.0,0.25,Y,3
24.0,49000.0,Other,1.0,Personal,C,20000.0,11.34,1.0,0.41,Y,4
32.0,70000.0,Own,1.0,Medical,A,14400.0,7.88,0.0,0.21,N,10
25.0,57000.0,Rent,5.0,Medical,D,9600.0,14.46,1.0,0.17,N,3
26.0,49441.0,Own,11.0,Homeimprovement,A,12000.0,6.99,0.0,0.24,N,4
23.0,60000.0,Own,2.0,Medical,D,18500.0,15.33,0.0,0.31,N,2
34.0,67392.0,Mortgage,0.0,Personal,C,15000.0,13.85,1.0,0.22,Y,5
25.0,72893.0,Mortgage,9.0,Personal,C,20000.0,13.22,0.0,0.27,N,2
24.0,38000.0,Mortgage,0.0,Personal,D,2500.0,15.7,1.0,0.07,N,2
36.0,37000.0,Mortgage,5.0,Medical,E,3000.0,18.39,1.0,0.08,Y,15
24.0,98400.0,Mortgage,0.0,Education,C,8000.0,12.68,0.0,0.08,N,2
32.0,35100.0,Mortgage,3.0,Venture,D,10000.0,15.95,0.0,0.28,Y,5
31.0,45000.0,Mortgage,12.0,Personal,A,6000.0,9.32,0.0,0.13,N,9
26.0,62500.0,Rent,7.0,Medical,C,12000.0,12.23,0.0,0.19,Y,4
29.0,24000.0,Own,3.0,Personal,A,7200.0,7.51,0.0,0.3,N,6
22.0,57600.0,Own,6.0,Venture,A,6500.0,7.49,0.0,0.11,N,3
22.0,66396.0,Mortgage,6.0,Education,C,15000.0,13.48,0.0,0.23,N,2
22.0,60000.0,Rent,6.0,Venture,D,7800.0,15.21,0.0,0.13,N,4
22.0,24240.0,Rent,3.0,Venture,B,3500.0,9.99,0.0,0.14,N,3
25.0,120000.0,Rent,2.0,Personal,A,15000.0,7.51,0.0,0.13,N,2
21.0,45000.0,Mortgage,4.0,Education,A,5000.0,7.14,0.0,0.11,N,4
32.0,80000.0,Rent,6.0,Homeimprovement,B,1500.0,10.74,0.0,0.02,N,10
45.0,43000.0,Mortgage,6.0,Venture,C,3600.0,13.49,0.0,0.08,N,15
32.0,113000.0,Rent,5.0,Homeimprovement,D,12000.0,16.29,1.0,0.11,N,5
29.0,62050.0,Rent,3.0,Medical,E,15000.0,15.95,1.0,0.21,Y,8
25.0,72000.0,Mortgage,9.0,Education,B,14000.0,12.42,0.0,0.19,N,2
33.0,45000.0,Rent,2.0,Medical,B,8500.0,10.62,0.0,0.19,N,6
21.0,62316.0,Mortgage,5.0,Medical,A,10000.0,7.66,0.0,0.16,N,4
25.0,30000.0,Mortgage,9.0,Venture,A,5000.0,6.03,0.0,0.17,N,3
24.0,49232.0,Rent,8.0,Education,A,8500.0,6.54,0.0,0.17,N,4
21.0,39000.0,Rent,4.0,Education,B,6000.0,10.38,0.0,0.15,N,3
39.0,31200.0,Rent,2.0,Education,B,6400.0,11.49,0.0,0.21,N,16
28.0,12000.0,Rent,1.0,Homeimprovement,D,1000.0,16.32,1.0,0.08,Y,9
26.0,66000.0,Rent,2.0,Personal,D,15000.0,16.02,1.0,0.23,N,2
25.0,49716.0,Mortgage,6.0,Medical,A,8000.0,9.32,0.0,0.16,N,2
47.0,75000.0,Other,1.0,Debtconsolidation,C,12000.0,12.84,0.0,0.16,N,11
28.0,110000.0,Mortgage,12.0,Homeimprovement,B,3500.0,11.49,0.0,0.03,N,10
36.0,24000.0,Mortgage,2.0,Debtconsolidation,A,1500.0,9.63,0.0,0.06,N,16
39.0,56100.0,Mortgage,23.0,Medical,D,8000.0,16.07,1.0,0.12,N,14
26.0,39900.0,Rent,1.0,Debtconsolidation,B,14000.0,10.37,1.0,0.35,N,3
29.0,48000.0,Mortgage,3.0,Personal,C,17375.0,14.27,0.0,0.36,Y,5
30.0,58000.0,Rent,2.0,Medical,A,15000.0,8.49,0.0,0.26,N,10
36.0,90000.0,Mortgage,13.0,Education,A,12000.0,6.62,0.0,0.13,N,13
25.0,60000.0,Rent,3.0,Homeimprovement,A,7000.0,6.92,0.0,0.12,N,2
33.0,67000.0,Rent,8.0,Homeimprovement,C,18000.0,13.11,1.0,0.27,Y,7
33.0,42996.0,Rent,2.0,Venture,A,8200.0,7.88,0.0,0.19,N,9
52.0,54000.0,Rent,0.0,Personal,A,1500.0,8.49,1.0,0.03,N,24
24.0,120000.0,Rent,4.0,Homeimprovement,C,10000.0,13.61,0.0,0.08,N,2
23.0,75000.0,Rent,7.0,Education,A,5000.0,7.49,0.0,0.07,N,3
26.0,63096.0,Mortgage,1.0,Homeimprovement,A,4200.0,5.99,0.0,0.07,N,3
22.0,30000.0,Mortgage,4.0,Education,B,5000.0,11.89,1.0,0.17,N,4
36.0,130000.0,Rent,0.0,Medical,B,18000.0,11.71,0.0,0.14,N,14
22.0,42000.0,Rent,3.0,Medical,B,4000.0,8.88,0.0,0.1,N,4
29.0,445000.0,Mortgage,3.0,Personal,B,25000.0,9.62,0.0,0.06,N,5
21.0,33000.0,Mortgage,5.0,Homeimprovement,C,2000.0,14.27,1.0,0.06,N,4
35.0,88000.0,Mortgage,18.0,Medical,B,9800.0,12.69,0.0,0.11,N,10
23.0,55000.0,Mortgage,5.0,Education,A,15000.0,6.17,0.0,0.27,N,3
22.0,66000.0,Rent,0.0,Venture,C,3300.0,14.65,0.0,0.05,Y,2
32.0,107000.0,Rent,4.0,Medical,C,4000.0,13.98,0.0,0.04,N,7
29.0,48000.0,Mortgage,8.0,Medical,A,4500.0,5.42,0.0,0.09,N,7
24.0,22000.0,Mortgage,8.0,Personal,A,8000.0,5.42,0.0,0.36,N,4
23.0,60996.0,Rent,0.0,Homeimprovement,E,16000.0,16.0,1.0,0.26,N,3
35.0,31000.0,Mortgage,9.0,Venture,C,15000.0,13.16,0.0,0.48,Y,9
24.0,32000.0,Mortgage,5.0,Homeimprovement,A,6000.0,5.42,0.0,0.19,N,4
24.0,34300.0,Rent,4.0,Medical,B,18500.0,10.71,1.0,0.54,N,2
27.0,113800.0,Mortgage,3.0,Medical,A,7500.0,8.63,0.0,0.07,N,10
33.0,90000.0,Rent,8.0,Debtconsolidation,C,14500.0,14.65,0.0,0.16,N,9
34.0,40000.0,Own,7.0,Medical,A,4200.0,6.76,0.0,0.1,N,7
30.0,144997.0,Mortgage,14.0,Personal,B,25000.0,11.83,0.0,0.17,N,5
32.0,65000.0,Mortgage,12.0,Venture,A,12000.0,7.88,0.0,0.18,N,5
23.0,57000.0,Mortgage,6.0,Education,D,17500.0,14.09,0.0,0.31,Y,3
35.0,51000.0,Rent,5.0,Education,C,5000.0,12.98,0.0,0.1,Y,10
53.0,92000.0,Mortgage,7.0,Personal,B,15000.0,11.12,0.0,0.16,N,22
35.0,52500.0,Rent,3.0,Homeimprovement,B,12000.0,10.36,0.0,0.23,N,8
23.0,65000.0,Mortgage,3.0,Education,A,8000.0,7.14,0.0,0.12,N,4
36.0,33600.0,Rent,3.0,Education,B,12000.0,11.36,1.0,0.36,N,16
30.0,33000.0,Rent,4.0,Debtconsolidation,C,1000.0,14.79,0.0,0.03,Y,9
26.0,132000.0,Mortgage,10.0,Medical,B,11200.0,10.99,0.0,0.08,N,4
26.0,80000.0,Mortgage,0.0,Education,A,6300.0,5.79,0.0,0.08,N,4
37.0,6000.0,Own,3.0,Venture,A,1300.0,6.03,1.0,0.22,N,11
24.0,42000.0,Mortgage,4.0,Venture,B,1200.0,11.49,0.0,0.03,N,3
28.0,68804.0,Mortgage,1.0,Education,A,22000.0,6.99,0.0,0.32,N,6
26.0,21000.0,Own,4.0,Education,C,8000.0,13.79,0.0,0.38,Y,3
27.0,120000.0,Mortgage,11.0,Personal,A,7000.0,6.76,0.0,0.06,N,7
25.0,77000.0,Mortgage,8.0,Homeimprovement,A,9000.0,6.03,0.0,0.12,N,3
30.0,75000.0,Own,0.0,Education,A,10000.0,7.88,0.0,0.13,N,5
28.0,61500.0,Rent,1.0,Homeimprovement,B,4000.0,10.95,0.0,0.07,N,8
30.0,31000.0,Mortgage,14.0,Homeimprovement,B,2400.0,10.65,1.0,0.08,N,5
22.0,71200.0,Rent,2.0,Venture,B,11000.0,12.42,0.0,0.15,N,2
30.0,24000.0,Rent,5.0,Medical,C,5500.0,13.23,0.0,0.23,Y,8
24.0,102000.0,Own,8.0,Medical,B,24250.0,11.83,0.0,0.24,N,3
32.0,89000.0,Rent,0.0,Medical,A,12000.0,8.94,0.0,0.13,N,6
21.0,19000.0,Rent,0.0,Education,C,700.0,12.29,0.0,0.04,N,2
34.0,51000.0,Rent,1.0,Medical,A,6000.0,5.99,0.0,0.12,N,6
31.0,48000.0,Own,0.0,Homeimprovement,B,1600.0,9.99,0.0,0.03,N,8
33.0,116000.0,Mortgage,5.0,Education,C,15000.0,12.84,0.0,0.13,N,7
22.0,32244.0,Rent,2.0,Venture,B,11100.0,12.21,1.0,0.34,N,3
27.0,32890.0,Rent,5.0,Education,B,10000.0,10.95,0.0,0.3,N,5
23.0,70000.0,Mortgage,3.0,Venture,A,15000.0,8.49,0.0,0.21,N,2
28.0,60000.0,Own,0.0,Venture,B,7000.0,11.11,0.0,0.12,N,5
30.0,107000.0,Mortgage,0.0,Debtconsolidation,C,2500.0,10.78,0.0,0.02,Y,6
43.0,145000.0,Mortgage,1.0,Venture,A,20000.0,6.91,0.0,0.14,N,17
34.0,47300.0,Mortgage,3.0,Homeimprovement,A,12000.0,7.88,0.0,0.25,N,10
28.0,90000.0,Mortgage,5.0,Venture,B,25000.0,11.86,0.0,0.28,N,6
26.0,87000.0,Mortgage,10.0,Debtconsolidation,B,10000.0,9.99,0.0,0.11,N,3
22.0,34000.0,Mortgage,6.0,Venture,D,15000.0,15.99,1.0,0.44,Y,2
25.0,30035.0,Rent,9.0,Medical,C,1000.0,12.87,0.0,0.03,Y,2
25.0,38400.0,Rent,3.0,Debtconsolidation,B,15000.0,10.65,1.0,0.39,N,2
34.0,74700.0,Own,10.0,Medical,B,14000.0,9.91,0.0,0.19,N,5
22.0,80000.0,Mortgage,5.0,Medical,B,9500.0,11.71,0.0,0.12,N,2
25.0,48000.0,Rent,8.0,Debtconsolidation,C,3500.0,13.16,0.0,0.07,N,3
21.0,16800.0,Mortgage,0.0,Venture,B,6000.0,10.39,1.0,0.36,N,4
23.0,58000.0,Rent,1.0,Medical,B,12800.0,12.42,0.0,0.22,N,2
22.0,28000.0,Rent,0.0,Education,C,6975.0,12.29,0.0,0.25,N,4
30.0,95000.0,Mortgage,0.0,Debtconsolidation,A,10000.0,7.51,0.0,0.11,N,9
21.0,60000.0,Mortgage,4.0,Education,B,12000.0,11.36,0.0,0.2,N,3
24.0,40000.0,Mortgage,3.0,Venture,B,10500.0,11.36,0.0,0.26,N,4
27.0,35000.0,Rent,0.0,Debtconsolidation,A,3000.0,8.49,0.0,0.09,N,10
23.0,45000.0,Mortgage,2.0,Debtconsolidation,A,6000.0,7.49,0.0,0.13,N,3
23.0,88000.0,Rent,1.0,Education,C,18000.0,13.16,0.0,0.2,N,4
42.0,42000.0,Rent,0.0,Personal,B,12000.0,10.37,0.0,0.29,N,11
23.0,34000.0,Mortgage,2.0,Debtconsolidation,A,10000.0,6.99,0.0,0.29,N,4
32.0,58000.0,Rent,3.0,Medical,B,10000.0,10.96,0.0,0.17,N,10
26.0,18144.0,Rent,2.0,Personal,B,2675.0,9.91,0.0,0.15,N,4
23.0,50000.0,Rent,5.0,Personal,A,10000.0,8.94,0.0,0.2,N,2
23.0,55000.0,Rent,7.0,Education,B,6000.0,10.99,0.0,0.11,N,2
23.0,115000.0,Mortgage,7.0,Education,C,10000.0,14.27,0.0,0.09,N,2
24.0,59000.0,Mortgage,3.0,Debtconsolidation,C,6800.0,12.53,1.0,0.12,Y,4
24.0,71000.0,Mortgage,8.0,Education,B,20000.0,11.36,0.0,0.28,N,2
24.0,33000.0,Rent,1.0,Medical,F,5000.0,21.36,1.0,0.15,N,2
36.0,50000.0,Rent,6.0,Venture,C,7200.0,13.98,0.0,0.14,N,17
28.0,50000.0,Rent,1.0,Homeimprovement,B,4000.0,10.59,0.0,0.08,N,10
21.0,25200.0,Rent,2.0,Education,A,6000.0,7.49,0.0,0.24,N,3
48.0,110000.0,Mortgage,6.0,Education,A,6000.0,8.94,0.0,0.05,N,14
31.0,31600.0,Mortgage,4.0,Medical,B,7500.0,11.36,0.0,0.24,N,10
26.0,22800.0,Rent,4.0,Personal,C,5000.0,13.57,0.0,0.22,Y,2
24.0,85000.0,Rent,1.0,Venture,B,16000.0,11.99,0.0,0.19,N,3
29.0,55000.0,Mortgage,1.0,Venture,A,12625.0,7.9,0.0,0.23,N,6
23.0,77000.0,Own,3.0,Venture,A,3500.0,5.99,0.0,0.05,N,2
24.0,72000.0,Mortgage,2.0,Education,E,6000.0,16.77,0.0,0.08,Y,3
22.0,55000.0,Rent,6.0,Education,A,5000.0,6.91,0.0,0.09,N,2
26.0,110000.0,Mortgage,0.0,Venture,A,15600.0,6.17,0.0,0.14,N,4
24.0,40000.0,Own,6.0,Education,A,2800.0,8.49,0.0,0.07,N,4
33.0,51000.0,Mortgage,2.0,Education,A,1200.0,9.63,1.0,0.02,N,7
37.0,68500.0,Rent,2.0,Personal,A,8000.0,7.51,0.0,0.12,N,16
39.0,37200.0,Rent,1.0,Education,C,5000.0,15.62,1.0,0.13,N,15
32.0,120000.0,Mortgage,16.0,Homeimprovement,B,5600.0,10.75,0.0,0.05,N,10
27.0,31200.0,Own,1.0,Debtconsolidation,E,7000.0,16.35,1.0,0.22,Y,10
22.0,70550.0,Rent,0.0,Medical,E,7000.0,15.88,1.0,0.08,N,3
29.0,180000.0,Mortgage,13.0,Debtconsolidation,C,12000.0,12.99,0.0,0.07,Y,5
30.0,52576.0,Rent,3.0,Homeimprovement,A,8400.0,7.49,1.0,0.16,N,6
